Date,Ticker,Open,High,Low,Close_Price,Volume,RSI,MACD,Signal_Line,MACD_Hist,SMA_50,SMA_200,Vol_Pattern
24-07-2025,RELIANCE.NS,1413.55,1417.34,1390.45,1397.32,14740507,32.35,-10.14,4.53,-14.6651,1452.07,1320.35,Expanding
25-07-2025,RELIANCE.NS,1393.34,1395.43,1378.59,1386.16,11854722,30.42,-14.43,0.74,-15.1683,1450.78,1320.38,Expanding
28-07-2025,RELIANCE.NS,1386.76,1402.2,1379.49,1382.08,7748361,29.72,-17.96,-3.0,-14.9559,1449.72,1320.46,Expanding
29-07-2025,RELIANCE.NS,1377.5,1414.55,1377.5,1411.46,10750072,40.36,-18.17,-6.04,-12.1362,1449.57,1320.56,Expanding
30-07-2025,RELIANCE.NS,1412.46,1417.64,1395.73,1404.49,7209849,38.85,-18.69,-8.57,-10.1226,1449.19,1320.74,Expanding
31-07-2025,RELIANCE.NS,1382.58,1397.02,1376.7,1384.67,17065827,34.88,-20.46,-10.95,-9.5167,1448.81,1320.83,Expanding
01-08-2025,RELIANCE.NS,1381.38,1400.31,1378.79,1388.16,10321171,36.12,-21.34,-13.03,-8.3158,1448.15,1320.94,Expanding
04-08-2025,RELIANCE.NS,1389.55,1410.47,1386.16,1405.89,6312820,42.14,-20.37,-14.5,-5.8769,1447.69,1321.13,Expanding
05-08-2025,RELIANCE.NS,1405.39,1405.39,1382.58,1386.16,9315972,37.86,-20.95,-15.79,-5.1667,1447.08,1321.37,Expanding
06-08-2025,RELIANCE.NS,1386.36,1390.35,1377.8,1387.26,5834312,38.24,-21.08,-16.85,-4.2368,1446.68,1321.56,Expanding
07-08-2025,RELIANCE.NS,1382.18,1388.16,1360.57,1383.87,9976705,37.49,-21.21,-17.72,-3.4944,1446.12,1321.73,Expanding
08-08-2025,RELIANCE.NS,1379.49,1391.64,1359.57,1362.36,8793606,33.03,-22.79,-18.73,-4.0573,1445.06,1321.77,Expanding
11-08-2025,RELIANCE.NS,1364.55,1382.48,1355.79,1380.69,9997486,39.61,-22.31,-19.45,-2.8571,1444.51,1321.86,Expanding
12-08-2025,RELIANCE.NS,1376.4,1396.32,1369.73,1374.91,12244664,38.33,-22.13,-19.98,-2.1464,1444.01,1322.04,Expanding
13-08-2025,RELIANCE.NS,1382.48,1386.26,1372.02,1377.1,7457021,39.14,-21.57,-20.3,-1.2664,1443.2,1322.26,Expanding
14-08-2025,RELIANCE.NS,1377.3,1380.7,1370.1,1373.8,7126128,38.33,-21.14,-20.47,-0.6739,1441.94,1322.46,Expanding
18-08-2025,RELIANCE.NS,1390.0,1394.9,1377.0,1381.7,11785109,41.45,-19.94,-20.36,0.4235,1440.82,1322.75,Expanding
19-08-2025,RELIANCE.NS,1390.0,1421.0,1389.1,1420.1,14384719,53.71,-15.71,-19.43,3.7254,1440.36,1323.21,Expanding
20-08-2025,RELIANCE.NS,1413.0,1424.9,1410.0,1413.0,8725641,51.56,-12.78,-18.1,5.3237,1439.96,1323.6,Drying Up
